Datetime,Latitude,Longitude,Message,Number of Records
11/3/2012 12:47:46 AM,29.9918,-95.3927,Txt REDCROSS 2 90999 to donate ($10) 2 the victims of Hurricane Sandy! Donate 2 a reputable organization. :),1
11/3/2012 11:28:09 PM,31.9686,-99.9018,"TX, OK, AR, and NM people! Go to this event to help hurricane sandy victims! Print the pic if u can to bring w/u!! http://t.co/WvpTcEyt",1
11/5/2012 5:53:05 AM,10000,10000,Twitter follower race for charity. Me v. @leahevans88. Each follower = .25 to Hurricane Sandy Relief Fundraiser on Saturday. #Followme,1
11/2/2012 1:45:28 AM,40.6752,-73.971,"Tweethearts, if you can, give to the Red Cross and help those devastated by Hurricane Sandy. http://t.co/kkExryKs",1
10/30/2012 10:29:06 PM,40.7561,-73.987,Tweet from Tim Keller Wisdom (@DailyKeller) Hurricane Sandy Relief. Would you like to help? (cont) http://t.co/1cwkfx0G,1
11/5/2012 1:22:22 AM,10000,10000,Tune in Wednesday and Thursday to LaxWorm Radio to help with Hurricane Sandy relief,1
11/3/2012 2:48:00 AM,32.7188,-117.164,Tune-in to NBC 7 at 8 p.m. for a one-hour live benefit telethon for Hurricane Sandy victims. http://t.co/SNYc9ygP #SandyHelp,1
11/4/2012 3:13:04 PM,40.7867,-77.8582,Truck at Blaise Alexander dealership accepting donations for Hurricane Sandy victims until 4:00 today. http://t.co/aZ8kfro1,1
11/1/2012 4:38:14 PM,40.8437,-73.2815,Trivia Night to benefit Hurricane Sandy Relief Efforts http://t.co/kq54Vxyw #Commack,1
11/5/2012 7:57:16 PM,40.7561,-73.987,"TO SUPPORT VICTIMS OF #HURRICANE SANDY, YAJU EVENTS WILL BE DONATING A PORTION OF THE PROCEEDS TO #SANDY RELIEF FUND #fundraiser #fashion",1
11/1/2012 6:49:36 PM,56.1304,-106.347,Top Stories #news Hurricane Sandy Cancels 300 Blood Drives: How You Can Help - Huffington Post http://t.co/ctTX8iZ3,1
11/3/2012 4:28:33 PM,40.6618,-73.6391,Tonight were offering 30$ top shelf open bar 9-12 5$ goes to hurricane sandy relief efforts! #hurricansandy #reliefeffort #rvc #mcfaddens,1
11/2/2012 10:59:16 PM,40.7561,-73.987,Tonight at 8 watch @nbc's telethon to help victims of Hurricane Sandy. Then donate to the @RedCross http://t.co/Pzndasoa,1
11/3/2012 9:40:56 PM,10000,10000,Tomorrow's game is going to be crazy! Make sure to carpool & bring items to donate to the hurricane victims...GCC will be #bringingthatcheer,1
11/4/2012 11:29:58 PM,10000,10000,Tomorrow is a day of giving on abc for hurricane sandy relief. Please give :(  #devestation #hurricanesandy,1
11/1/2012 8:15:35 PM,29.9017,-81.3202,"To make a $10 donation to the United Way Hurricane Sandy Recovery Fund, text RECOVERY to 52000. #sandyfund",1
11/1/2012 11:17:07 PM,39.767,-86.1563,"To help with #sandy hurricane relief, text REDCROSS to 90999 to donate $10. @redcross",1
11/3/2012 1:55:07 AM,-33.8671,151.207,To help victims of hurricane sandyTxt REDCROSS to 90999 ($10 donation) or visit http://t.co/XHKdNg7Z  http://t.co/khMzwF91 ﾔ pls RT people,1
11/1/2012 11:42:19 PM,40.7561,-73.987,"To help those devastated by Hurricane #Sandy overseas, and who lack the bare essentials, try Catholic Relief Services: http://t.co/4B0Yf0mV",1
11/3/2012 1:01:37 AM,10000,10000,"To Help Those Affected By Hurricane Sandy visit http://t.co/EXIENgKL, call 1(800) 435-7669 or text REDCROSS to 90999 to donate! #SandyHelp",1
11/3/2012 1:15:08 AM,40.7716,-111.888,"To help the North East Coast recover from the damage caused by Hurricane Sandy, iPhone users can donate to the Red Cross using their...",1
11/1/2012 6:20:42 PM,10000,10000,To help aid those hit by Hurricane Sandy please donate to the American Red Cross http://t.co/O3yq0Peu,1
10/31/2012 5:11:39 PM,10000,10000,"To do our part helping those impacted by Hurricane Sandy, we are contributing to the Red Cross. Join us in donating: http://t.co/8RmTHUSq",1
11/5/2012 4:52:50 PM,40.6752,-73.971,"""Today is Disney/ABC's \""""Day of Giving\"""" to help those affected by Hurricane Sandy. Find out more here: http://t.co/OkIjkbg2  via @DisneyComics""",1
11/5/2012 5:04:59 PM,44.3148,-85.6024,Today is #dayofgiving\You can donate to Hurricane #Sandy Relief http://t.co/J7p73X7b  #socialgood @ReformNonprofit,1
11/3/2012 8:29:25 PM,36.1146,-115.173,"To all women, you can make a difference with Hurricane #Sandy relief! http://t.co/A1LFRLUL",1
11/7/2012 9:07:50 PM,34.0522,-118.243,"To all my twatchers and followers, DONATE to the victims of hurricane Sandy. Today it's them,tomorrow it can be us.Food, blankets, water etc",1
11/3/2012 3:47:25 AM,-37.8233,145.181,TLD Auction To Benefit Hurricane Sandy Relief Efforts http://t.co/l47Cl84M via @vitalmx @TroyLeeDesigns  #SandyHelp http://t.co/oEYBJOIP,1
10/30/2012 7:22:44 PM,39.767,-86.1563,Time for generosity! RT @geoffliving: Donate to Hurricane Sandy Relief | Bethﾒs Blog http://t.co/QM2N1IeT via @kanter,1
11/3/2012 1:45:20 AM,35.4931,-97.4591,#ThunderCares auction underway at the game tonight. Raising $$$ for @RedCross to help victims of Hurricane Sandy. http://t.co/5FPPGz7r,1
10/30/2012 10:10:46 PM,43.0402,-87.9145,"""Thoughts & prayers to those affected by Hurricane Sandy. Text the word \""""Redcross\"""" to 90999 to make a $10 donation.""",1
10/30/2012 7:04:03 PM,34.098,-118.327,Thoughts and prayers to everyone affected by #Hurricane #Sandy. Visit http://t.co/xt2NcRIj for lots of useful information. Stay safe guys.,1
11/2/2012 12:58:36 AM,43.6702,-79.3868,Thoughts and prayers go out to those impacted by Hurricane Sandy - The Red Cross is raising funds. Please Donate http://t.co/0AVkzVld #sandy,1
11/4/2012 8:10:09 AM,10000,10000,Thoughts and prayers for everyone still suffering from the aftermath of Hurricane Sandy! Text REDCROSS TO 90999 $10 DONATION Thanks,1
10/31/2012 5:55:07 PM,10000,10000,Those affected by Hurricane Sandy are in our thoughts and prayers. Help us help those in need: http://t.co/QrmRuhWZ,1
11/1/2012 1:06:55 PM,41.1512,-81.3627,"This works, I donated and it was easy: RT @CNET:You can now make donations for Hurricane Sandy relief via iTunes http://t.co/IQlVsJWn #Sandy",1
11/5/2012 4:46:14 PM,40.7561,-73.987,This Wednesday we are holding our Hurricane Relief class @6:30pm sign up + 100% of the proceeds will go to helping the Relief Efforts,1
11/1/2012 9:53:31 AM,37.0902,-95.7129,This was shot last summer in NJ where Sandy hit. All funds go to Hurricane relief. Please help out.@bandcamp: http://t.co/LhnYmV0z,1
11/4/2012 1:08:02 AM,17.3678,78.4856,This Mon 00-Vision & Cvr Ent will be setting up the hurricane sandy relief funds.You could donate if you like.\Goal is to raise 5 Million $,1
11/3/2012 12:48:35 AM,25.7743,-80.1903,"""This \""""Jersey Girl\"""" loves NYC & wish my hometown a speedy recovery! Text 90999 & HELP Hurricane Sandy victims""",1
11/5/2012 12:37:17 AM,10000,10000,This is our first charity fundraiser event for Hurricane Sandy relief. Please RT and spread the word. https://t.co/0tvADQKG,1
11/5/2012 11:01:41 PM,36.1774,-94.5296,This Haddonfield benefit for Hurricane Sandy relief will shoot for a big score. http://t.co/ypS0YJrk,1
11/5/2012 12:57:40 AM,37.2726,-79.9424,THIS ----&gt; WDBJ7 & Kroger to help Hurricane Sandy victims and local food banks. PLEASE RT. Thank you. http://t.co/CoLaLvDv,1
11/5/2012 10:06:49 PM,10000,10000,This Friday night come to The Lodge! We have DjRb here for a fundraiser to support the Hurricane #Sandy relief efforts! http://t.co/bTiGdQwj,1
10/31/2012 5:09:54 PM,36.1146,-115.173,Thinking of all those affected by Hurricane Sandy. Donate by texting REDCROSS to 90999. Your generosity and efforts make a difference.,1
10/30/2012 8:31:45 PM,10000,10000,"@TheSpoonyOne http://t.co/cIQH61dd\i'm trying to help motivate people to help with the Hurricane, could you look at this and pass it along?",1
